Layer;category;techno;latitude;longitude;operator;capacite_gwh_year;site_info;operational_status;co2_injection_potential_tpy;municipality;eiffel;eiffel_project_name;capacity_kt_per_year
Offtake;Food processing;Slaughterhouses;52,29330063;17,85586929;"Przedsi?biorstwo Produkcyjno-Handlowo-Us?ugowe ""KONSPOL-BIS"" Sp. z o.o. - Ubojnia";N/A;Capacity: >50 tonnes carcass/day;Operational;500;S?upca;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,278604;-7,169111;Dawn Meats Ireland t/a Dawn Grannagh;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Kilkenny;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,278045;-7,167554;Queally Pig Slaughtering Limited;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Kilkenny;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,27717161;11,41286023;Mühlen für Futtermittel;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Haldensleben;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,27518399;13,9631363;Geflügelschlachtanlage;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Storkow (Mark);0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,27411868;9,851929714;Schlachtanlage;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Laatzen;0;N/A;N/A
Offtake;Food processing;Milk processing;52,268383;-8,268066;Dairygold Co-operative Society Limited (Castlefarm);N/A;Capacity: >200 tonnes/day;Operational;200;Cork;0;N/A;N/A
Offtake;Food processing;Milk processing;52,265071;-7,048891;Tirlán Limited;N/A;Capacity: >200 tonnes/day;Operational;200;Kilkenny;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,26462925;7,705489467;Stärkefabrik;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Ibbenbüren;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,25918023;9,028687228;Räucherei (IED);N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Bückeburg;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,25918023;9,028687228;Räucherei (IED-Anlage);N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Bückeburg;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,25898233;9,029126637;Herstellung von Fleisch- und Wurstwaren (IED);N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Bückeburg;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,257572;-7,094157;Anglo Beef Processors Ireland Unlimited Company trading as ABP Waterford;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Waterford;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,25584;4,55884;Vleeswarenfabriek Persoon BV;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Lisse;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,25283;6,69186;ForFarmers Nederland B.V., locatie Delden;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Delden;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,24885433;10,53148232;Brauerei (Ausstoß >5000 hl Bier je Jahr);N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Braunschweig;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,2474;5,60768;Storteboom Fresh BV (Putten);N/A;Capacity: >50 tonnes carcass/day;Operational;500;Putten;0;N/A;N/A
