OBJECTID,Symbol,start_lon,start_lat,end_lon,end_lat
2624,"220 kV Transmission Line, 1 Circuit",7.24464303492393,48.0559744139353,7.24464303492393,48.0559744139353
2625,"220 kV Transmission Line, 1 Circuit",7.24464303492393,48.0559744139353,6.45193901768217,48.2674185944687
2626,"220 kV Transmission Line, 1 Circuit",1.95976021110001,47.8119461237691,2.01384818606317,48.0573603765968
2627,"220 kV Transmission Line, 1 Circuit",1.95976021110001,47.8119461237691,2.01384818606317,48.0573603765968
2628,"220 kV Transmission Line, 1 Circuit",-2.07951531522325,47.4382775080153,-3.26991624315463,47.8166229217945
2629,"220 kV Transmission Line, 1 Circuit",5.92583425134823,48.1704403081314,6.2698521100164,48.3182347441989
2630,"220 kV Transmission Line, 1 Circuit",6.50178103526192,48.2130340187214,6.38005117201115,48.1814285559792
2631,"220 kV Transmission Line, 1 Circuit",2.01384818606317,48.0573603765968,1.95976021110001,47.8119461237691
2632,"220 kV Transmission Line, 1 Circuit",2.01384818606317,48.0573603765968,2.1267613186218,48.1794656803271
2633,"220 kV Transmission Line, 1 Circuit",0.795725121867902,47.9621224180224,0.325592395122641,47.9053932082031
2634,"220 kV Transmission Line, 1 Circuit",5.06184612199882,48.2503314773363,5.05472710516403,48.3366783285786
2635,"220 kV Transmission Line, 1 Circuit",5.31724580512663,48.3159001279869,5.18440790976474,48.3632730651331
2636,"220 kV Transmission Line, 1 Circuit",2.20372716042137,48.1526879608252,2.1267613186218,48.1794656803271
2637,"220 kV Transmission Line, 1 Circuit",6.09197829250512,48.3614027539768,6.16014487051668,48.4010329099926
2638,"220 kV Transmission Line, 1 Circuit",5.05472710516403,48.3366783285786,6.16014487051668,48.4010329099926
2639,"220 kV Transmission Line, 1 Circuit",2.1267613186218,48.1794656803271,2.01384818606317,48.0573603765968
2640,"220 kV Transmission Line, 1 Circuit",6.16014487051668,48.4010329099926,6.2698521100164,48.3182347441989
2641,"220 kV Transmission Line, 1 Circuit",0.292169345813924,48.0525935185849,0.561278287906322,48.2898059866653
2642,"220 kV Transmission Line, 1 Circuit, underground",-0.97252337771045,47.9707875103217,-0.77366794114565,48.0725180406807
2643,"220 kV Transmission Line, 1 Circuit",4.1214767524383,48.3613339462766,5.05472710516403,48.3366783285786
2644,"220 kV Transmission Line, 1 Circuit",4.1214767524383,48.3613339462766,4.68738170335531,48.7034463338144
2645,"220 kV Transmission Line, 1 Circuit",7.63010906959022,48.5027855604204,7.45404153259775,48.1402671723548
