OBJECTID,Symbol,lon,lat
82,"Other or not listed, under construction",37.1318529139002,20.4641307832582
83,Substation,37.1566379513078,20.3625122016234
84,Substation,37.2068454479478,19.8544775460124
89,Hydro pure pump storage,16.0665281821017,49.1237373004225
90,Nuclear,16.018066406219,48.8520654983155
91,Hydro run of river & pondage,14.276733398407,49.539469007943
92,Nuclear,14.3865966796569,49.3430200229046
93,Brown coal/Lignite,15.3039550780942,50.0095041669225
94,Hydro pure pump storage,17.0480346679375,50.1575455946505
95,Substation,18.3409881591481,49.7763867196446
96,Hydro pure storage,14.2212830901907,48.6416319702076
97,Substation,14.2677739755008,49.2141309641309
98,Substation,14.3393116521295,48.9747970875541
99,Substation,16.1630883107631,48.9951150871514
100,Substation,16.7582872433997,49.0389111570238
101,Substation,12.7962398528751,50.1592502512316
103,Substation,13.3687466537653,49.7943080131207
104,Substation,13.2831585247601,49.6071600329619
105,Substation,13.9993286132508,49.555507284163
106,Substation,14.23388280475,50.0379263114242
107,Brown coal/Lignite,13.4280395507509,50.4225188428265
109,Substation,13.5465464861087,50.4478387913049
110,Substation,13.8987814464978,50.3467889175976
111,Substation,13.881066314583,50.5831928402146
112,Substation,15.3381876127778,50.1184521416793
113,Substation,14.8368729578646,50.0832634764968
114,Substation,14.6735160403039,49.4070590461672
116,Substation,14.5398198601499,50.0707612602276
117,Substation,15.6873428843869,49.5308674033981
118,Substation,15.7112714829562,50.0619568765477
119,Substation,14.4589058162484,50.5909729750748
120,Substation,15.2851581175068,50.6000235935377
121,Substation,15.7419582373788,50.3323610810322
122,Substation,16.6914859341074,49.8929547215598
123,Substation,16.3530871401364,49.4323920278677
124,Substation,17.5289538757512,49.4543878792291
125,Substation,17.4418751572853,49.2357260831561
126,Substation,17.5467805917577,49.925090588583
127,Substation,18.5050964355152,49.6080402797756
128,Substation,18.3077585458557,49.6599637019774
129,Brown coal/Lignite,12.6013183593449,50.0641917366666
130,Brown coal/Lignite,13.6807250976259,50.4435130524654
131,"Fossil gas, under construction",14.5513916015319,50.4295179471302
132,Hard coal,18.239364623992,49.899278676941
133,Fossil gas,12.6397705077824,50.2331518324796
135,Wind farm,13.1476230039824,50.4148867024909
136,Brown coal/Lignite,13.6889648437196,50.560559673135
137,Substation,17.8992181214731,49.7525728748952
138,Substation,9.51690673825195,55.0170006785809
139,Substation,9.29718017575201,55.0752225164859
140,Converter Station,9.56153869625973,56.5140483833137
145,Converter Station,10.2163366396411,57.1307107013181
146,Hard coal,9.9879455566112,57.1347488748783
155,Substation,8.61977118952536,56.3165226412631
157,Substation,8.56186126223024,55.8766407073707
159,Substation,8.61214947526993,55.6571748049158
160,Hard coal,8.49243164059598,55.4819663733708
164,Substation,8.84916239489801,55.4893007492129
167,Substation,9.2309571576739,55.9356301496406
171,Substation,9.50260061978882,55.5885059382323
175,Substation,10.1009284810021,55.4162215501078
183,Substation,9.63777389289497,56.4685823864566
197,Substation,11.7127964553425,54.7792440803697
203,Converter Station,11.9676017488369,55.4216669360256
204,Substation,12.2401481803865,55.7645707389598
206,Fossil oil,11.8858337402045,55.8167154842147
210,Substation,12.5643824697524,55.7956562252752
212,Substation,12.3118564410197,55.6705971869717
222,Substation,10.0173564192426,57.1068120634648
224,Substation,9.83078405353496,56.879498928147
226,Substation,10.190577646524,56.2754314639925
230,Mixed fuels,9.61853027340818,55.5193021171797
235,Substation,10.5145112360354,55.3736554883253
236,Mixed fuels,10.4297126623374,55.4450034221014
239,Substation,11.9619802296211,55.4455898380441
243,Substation,12.5714604250029,56.0431946787441
250,Substations + Power Plants,12.5597763061223,55.6572529924847
252,Converter Station,10.5549587847242,55.3710087920372
253,Wind farm,7.80174488005363,55.4970079553227
254,Wind farm,7.75180817696554,55.6807863842887
256,Biomass,10.3573608398142,56.2586087257119
257,Wind farm,11.1659486291346,56.6576977975846
259,Mixed fuels,24.9224853515292,59.4520556971818
260,Oil shale,27.9025268554347,59.2728981758923
261,Substation,24.5603656768467,59.3841519378092
262,Substation,24.6711730956699,58.4290439708004
264,Substation,25.0412750243807,59.3608455381219
265,Substation,25.5294799804353,58.877683492294
266,Substation,26.68304443356,58.3786785393307
267,Substation,27.0649051665921,59.3672749811526
268,Substation,26.3311386108062,59.3517460133878
269,Converter Station,27.0675659179349,59.3702924628924
270,Substation,27.0722833887204,69.8628854907808
271,Hydro run of river & pondage,26.7700736605572,66.3789901275377
272,Fossil oil,21.7026146041155,63.0423828075381
273,Substation,21.9022185335571,63.0302815017248
274,Substation,26.8199687189933,67.6026483675722
275,Substation,27.3869244225866,67.2373483628988
276,Hydro run of river & pondage,27.3984234074195,66.4501220314597
277,Substation,27.6746831505012,68.6456512888305
278,Hydro run of river & pondage,25.7169504320108,66.4131763672707
279,Substation,25.4160309099378,66.2853891887644
280,Substation,25.0695141925092,66.1404951515153
281,Hydro run of river & pondage,24.7208862262446,65.9163400738921
282,Substation,24.6123664225728,65.8773195174078
283,Substation,24.4115935678678,65.7819761424212
284,Substation,27.0300483075928,66.3307609595601
285,Substation,28.4499351364353,64.5816514725196
286,Hydro run of river & pondage,26.8430365985017,64.556333489824
287,Hydro run of river & pondage,26.5177183478656,64.7594726761133
288,Hydro run of river & pondage,26.1153095356195,64.7783992405835
289,Substation,25.8086262776972,64.9720864086318
290,Substation,26.0599851722832,64.9654850363589
291,Substation,24.2452239972441,64.285993404489
292,Fossil oil,25.420989990201,64.1213934177415
293,Substation,27.2043300279417,64.1018630843587
294,Substation,27.5856981970598,63.1552580961617
295,Substation,24.2856953439838,62.9765932549523
296,Substation,22.6332970516558,62.7897759079895
297,Substation,26.0318360539646,62.3405017073756
298,Substation,27.7666671211505,62.2619503827575
299,Substation,22.1059003765607,61.4821835919814
300,Converter Station,21.3574169934482,61.079861390971
301,Substation,21.5359525974867,61.1273564542124
302,Substation,23.5789998254613,60.8303872666534
303,Substation,24.9160877513348,60.9067176185271
304,Substation,25.0402251758087,60.575689555067
305,Substation,24.9302660583341,60.3301387182046
306,Substation,25.1325988769198,60.2786428507046
307,Substation,24.0838620492267,61.5161730461848
308,Substation,25.1368904322984,62.2814992544762
310,Substation,25.1365471095445,61.8933725632657
311,Substation,24.6563913594107,60.205875794353
312,Nuclear,26.2947801777969,60.4185369526194
313,Substation,25.6601769899981,60.4696107614718
314,Substation,26.6205654000679,60.8653435742814
315,Substation,27.0628917253746,60.7371935169539
316,Substation,27.9186839175071,60.8937219725618
318,Substation,22.4578890785647,60.520301046358
319,Substation,23.8192477240897,60.0478881768948
320,Substation,27.3054211073357,61.4890521357439
321,Substation,22.9138452837468,60.3637496120036
