Layer;category;x_min_m;y_min_m;x_max_m;y_max_m;prob_mean;x_center_m;y_center_m;cell_km
Offtake;Greenhouse;2700000;1740000;2730000;1770000;84,289;2715000;1755000;30
Offtake;Greenhouse;4200000;2940000;4230000;2970000;84,30997;4215000;2955000;30
Offtake;Greenhouse;3240000;2910000;3270000;2940000;84,36854;3255000;2925000;30
Offtake;Greenhouse;3240000;3480000;3270000;3510000;84,55463;3255000;3495000;30
Offtake;Greenhouse;5400000;2430000;5430000;2460000;84,645164;5415000;2445000;30
Offtake;Greenhouse;3630000;3210000;3660000;3240000;84,709435;3645000;3225000;30
Offtake;Greenhouse;3270000;3150000;3300000;3180000;84,71212;3285000;3165000;30
Offtake;Greenhouse;3510000;3750000;3540000;3780000;84,7665;3525000;3765000;30
Offtake;Greenhouse;2820000;1920000;2850000;1950000;84,80142;2835000;1935000;30
Offtake;Greenhouse;3300000;1680000;3330000;1710000;84,813774;3315000;1695000;30
Offtake;Greenhouse;5280000;3930000;5310000;3960000;84,83766;5295000;3945000;30
Offtake;Greenhouse;4380000;3090000;4410000;3120000;84,87039;4395000;3105000;30
Offtake;Greenhouse;2670000;1800000;2700000;1830000;84,88937;2685000;1815000;30
Offtake;Greenhouse;4890000;1920000;4920000;1950000;84,88957;4905000;1935000;30
Offtake;Greenhouse;5520000;2220000;5550000;2250000;85,03425;5535000;2235000;30
Offtake;Greenhouse;5130000;3210000;5160000;3240000;85,04193;5145000;3225000;30
Offtake;Greenhouse;3210000;1620000;3240000;1650000;85,13989;3225000;1635000;30
Offtake;Greenhouse;3690000;3150000;3720000;3180000;85,20316;3705000;3165000;30
Offtake;Greenhouse;3390000;3240000;3420000;3270000;85,37267;3405000;3255000;30
Offtake;Greenhouse;3390000;1740000;3420000;1770000;85,46746;3405000;1755000;30
Offtake;Greenhouse;4500000;3570000;4530000;3600000;85,47115;4515000;3585000;30
Offtake;Greenhouse;4920000;2580000;4950000;2610000;85,56934;4935000;2595000;30
Offtake;Greenhouse;4380000;2820000;4410000;2850000;85,63022;4395000;2835000;30
Offtake;Greenhouse;3780000;2850000;3810000;2880000;85,648544;3795000;2865000;30
Offtake;Greenhouse;5310000;1740000;5340000;1770000;85,71429;5325000;1755000;30
Offtake;Greenhouse;5730000;2400000;5760000;2430000;85,80736;5745000;2415000;30
Offtake;Greenhouse;5070000;2520000;5100000;2550000;85,923515;5085000;2535000;30
Offtake;Greenhouse;3570000;3540000;3600000;3570000;86,05454;3585000;3555000;30
Offtake;Greenhouse;4320000;3570000;4350000;3600000;86,06053;4335000;3585000;30
Offtake;Greenhouse;5580000;2520000;5610000;2550000;86,101105;5595000;2535000;30
Offtake;Greenhouse;3510000;3150000;3540000;3180000;86,10168;3525000;3165000;30
Offtake;Greenhouse;3540000;3780000;3570000;3810000;86,265625;3555000;3795000;30
Offtake;Greenhouse;5730000;2310000;5760000;2340000;86,3617;5745000;2325000;30
Offtake;Greenhouse;4080000;2730000;4110000;2760000;86,37195;4095000;2745000;30
Offtake;Greenhouse;4020000;3330000;4050000;3360000;86,37604;4035000;3345000;30
Offtake;Greenhouse;3990000;3330000;4020000;3360000;86,48792;4005000;3345000;30
Offtake;Greenhouse;5220000;3570000;5250000;3600000;86,54273;5235000;3585000;30
Offtake;Greenhouse;5370000;2010000;5400000;2040000;86,568115;5385000;2025000;30
Offtake;Greenhouse;4260000;3300000;4290000;3330000;86,58524;4275000;3315000;30
